Freq,Posting_ptr,Terms_ptr
28,"[2, 29, 2, 32, 21, 32, 20, 18, 1, 16, 37, 37, 3, 25, 38, 38, 14, 10, 39, 42, 39, 9, 0, 9, 11, 41, 4, 41]",0
2,"[32, 41]",1
33,"[25, 2, 9, 20, 21, 9, 16, 3, 10, 14, 4, 2, 42, 37, 38, 37, 1, 39, 39, 36, 38, 34, 0, 32, 35, 40, 32, 29, 41, 42, 30, 41, 29]",10
33,"[9, 39, 8, 10, 11, 38, 11, 7, 12, 27, 14, 6, 25, 28, 23, 22, 21, 13, 20, 18, 17, 16, 15, 26, 37, 18, 5, 19, 0, 1, 2, 3, 4]",19
1,[41],28
1,[32],42
1,[14],56
1,[34],70
1,[0],84
1,[9],98
1,[36],112
1,[16],126
1,[1],140
1,[3],154
1,[24],168
1,[4],182
1,[15],196
1,[6],210
1,[28],224
1,[12],238
1,[8],252
1,[23],266
1,[19],280
1,[18],294
1,[17],308
1,[37],322
1,[29],336
1,[40],350
1,[35],364
1,[20],378
1,[38],392
1,[10],406
1,[21],420
1,[22],434
1,[31],448
1,[2],462
1,[26],476
1,[39],490
1,[42],504
1,[7],518
1,[27],532
1,[13],546
1,[11],560
1,[5],574
1,[25],588
1,[30],602
1,[33],616
1,[18],630
1,[23],634
1,[32],640
1,[8],646
2,"[3, 12]",653
1,[21],659
1,[10],664
1,[13],669
1,[31],672
1,[4],678
1,[30],684
1,[14],692
1,[11],697
1,[14],704
1,[0],711
1,[0],719
1,[29],723
1,[24],729
1,[6],733
12,"[39, 42, 41, 41, 39, 32, 38, 38, 29, 32, 37, 37]",743
1,[23],746
1,[27],753
1,[6],759
1,[20],768
12,"[29, 38, 36, 42, 40, 41, 35, 32, 34, 37, 39, 30]",776
1,[38],781
1,[11],788
1,[8],797
1,[22],802
1,[24],807
1,[11],815
1,[7],823
1,[37],832
1,[2],836
1,[32],840
1,[2],845
1,[39],849
40,"[3, 20, 18, 21, 3, 14, 15, 16, 14, 21, 20, 19, 17, 4, 2, 5, 0, 6, 0, 7, 8, 1, 1, 4, 9, 9, 22, 10, 2, 28, 27, 11, 26, 25, 25, 12, 23, 13, 10, 16]",853
1,[26],856
1,[0],859
1,[28],867
1,[12],871
52,"[18, 38, 15, 8, 9, 16, 27, 38, 4, 32, 3, 2, 37, 1, 19, 28, 21, 37, 10, 1, 9, 2, 29, 11, 22, 20, 39, 5, 12, 42, 0, 16, 25, 41, 6, 3, 23, 14, 41, 10, 4, 17, 13, 39, 7, 0, 32, 14, 26, 21, 25, 20]",879
1,[12],887
1,[21],892
1,[41],898
1,[18],903
1,[19],908
1,[39],914
1,[27],920
1,[36],926
1,[26],931
1,[37],937
1,[25],945
1,[15],952
1,[14],959
1,[30],967
1,[16],974
1,[35],978
52,"[32, 42, 5, 41, 25, 0, 41, 6, 25, 39, 0, 11, 7, 26, 39, 4, 38, 8, 9, 32, 10, 4, 29, 9, 10, 1, 2, 28, 1, 37, 38, 27, 37, 12, 16, 19, 13, 20, 22, 3, 18, 16, 17, 3, 2, 15, 23, 21, 21, 14, 20, 14]",983
2,"[18, 9]",987
1,[5],995
1,[31],1000
1,[7],1004
1,[13],1009
1,[15],1018
1,[6],1023
1,[9],1030
1,[9],1036
1,[9],1043
1,[9],1051
1,[18],1060
2,"[0, 29]",1067
1,[42],1072
52,"[20, 9, 10, 21, 1, 7, 4, 10, 38, 20, 32, 14, 39, 17, 12, 8, 32, 14, 9, 15, 0, 39, 4, 18, 38, 37, 37, 19, 11, 3, 22, 26, 29, 13, 41, 1, 16, 27, 25, 2, 0, 23, 2, 16, 6, 25, 21, 28, 41, 42, 3, 5]",1078
1,[9],1086
1,[18],1092
1,[17],1099
1,[33],1105
2,"[18, 9]",1113
1,[36],1122
1,[28],1131
1,[37],1137
1,[34],1146
1,[11],1151
1,[4],1156
1,[16],1164
2,"[40, 12]",1172
1,[40],1180
1,[21],1188
1,[11],1194
1,[4],1201
1,[2],1206
1,[20],1213
1,[39],1221
1,[20],1228
1,[22],1235
1,[26],1245
1,[33],1253
1,[25],1257
1,[36],1262
1,[9],1269
64,"[7, 42, 16, 5, 41, 4, 41, 16, 41, 3, 8, 18, 0, 40, 6, 14, 17, 38, 15, 39, 39, 38, 18, 38, 39, 12, 29, 22, 2, 26, 34, 2, 21, 21, 11, 9, 9, 32, 13, 1, 32, 20, 14, 27, 32, 28, 4, 10, 10, 1, 37, 2, 23, 19, 37, 20, 36, 25, 9, 42, 35, 3, 25, 30]",1278
1,[29],1286
1,[18],1293
1,[34],1304
1,[27],1309
1,[31],1316
1,[17],1324
1,[2],1336
1,[24],1341
1,[34],1347
1,[25],1356
1,[34],1366
1,[3],1371
1,[23],1376
1,[19],1385
1,[3],1395
1,[17],1401
1,[5],1407
1,[28],1413
1,[10],1420
1,[1],1429
1,[29],1437
1,[2],1443
1,[2],1458
1,[5],1463
1,[11],1470
1,[42],1478
1,[28],1485
1,[9],1488
1,[38],1492
1,[17],1500
1,[19],1505
1,[32],1509
1,[1],1515
1,[10],1522
13,"[29, 36, 35, 11, 39, 32, 30, 41, 37, 40, 42, 34, 38]",1527
1,[41],1533
1,[35],1537
1,[38],1544
1,[13],1550
1,[42],1555
1,[35],1561
1,[8],1566
1,[1],1570
1,[41],1578
