Terms,docFreq,postList
",",28,"[2, 29, 2, 32, 21, 32, 20, 18, 1, 16, 37, 37, 3, 25, 38, 38, 14, 10, 39, 42, 39, 9, 0, 9, 11, 41, 4, 41]"
2020-2021,2,"[32, 41]"
2021-2022,33,"[25, 2, 9, 20, 21, 9, 16, 3, 10, 14, 4, 2, 42, 37, 38, 37, 1, 39, 39, 36, 38, 34, 0, 32, 35, 40, 32, 29, 41, 42, 30, 41, 29]"
2022-2023,33,"[9, 39, 8, 10, 11, 38, 11, 7, 12, 27, 14, 6, 25, 28, 23, 22, 21, 13, 20, 18, 17, 16, 15, 26, 37, 18, 5, 19, 0, 1, 2, 3, 4]"
A11.2019.11725,1,[41]
A11.2019.11827,1,[32]
A11.2020.12417,1,[14]
A11.2020.12444,1,[34]
A11.2020.12457,1,[0]
A11.2020.12460,1,[9]
A11.2020.12468,1,[36]
A11.2020.12490,1,[16]
A11.2020.12590,1,[1]
A11.2020.12720,1,[3]
A11.2020.12770,1,[24]
A11.2020.12953,1,[4]
A11.2021.13221,1,[15]
A11.2021.13249,1,[6]
A11.2021.13250,1,[28]
A11.2021.13252,1,[12]
A11.2021.13462,1,[8]
A11.2021.13498,1,[23]
A11.2021.13579,1,[19]
A11.2021.13676,1,[18]
A11.2021.13909,1,[17]
A12.2020.06372,1,[37]
A12.2020.06531,1,[29]
A12.2020.06535,1,[40]
A12.2020.06538,1,[35]
A14.2020.03323,1,[20]
A14.2020.03403,1,[38]
A14.2020.03420,1,[10]
A14.2020.03494,1,[21]
A14.2020.03552,1,[22]
A14.2020.03589,1,[31]
A15.2020.01760,1,[2]
A15.2020.01815,1,[26]
A15.2020.01890,1,[39]
A15.2020.01903,1,[42]
A15.2021.01986,1,[7]
A15.2021.02005,1,[27]
A15.2021.02021,1,[13]
A15.2021.02040,1,[11]
A15.2021.02136,1,[5]
A15.2021.02239,1,[25]
A22.2021.02875,1,[30]
B11.2020.06653,1,[33]
abel,1,[18]
abiyyi,1,[23]
achmad,1,[32]
aditama,1,[8]
aditya,2,"[3, 12]"
ailsa,1,[21]
aisha,1,[10]
aji,1,[13]
alinda,1,[31]
amalia,1,[4]
amirudin,1,[30]
angga,1,[14]
anggota,1,[11]
apriano,1,[14]
aprilian,1,[0]
ardi,1,[0]
ardian,1,[29]
aris,1,[24]
"bastiaans,",1,[6]
bem,12,"[39, 42, 41, 41, 39, 32, 38, 38, 29, 32, 37, 37]"
bintang,1,[23]
candra,1,[27]
carmelita,1,[6]
caroline,1,[20]
catur,12,"[29, 38, 36, 42, 40, 41, 35, 32, 34, 37, 39, 30]"
chandra,1,[38]
community,1,[11]
daffa,1,[8]
damar,1,[22]
darmawan,1,[24]
debating,1,[11]
destriana,1,[7]
devi,1,[37]
dewi,1,[2]
dhany,1,[32]
dian,1,[2]
dina,1,[39]
dpm,40,"[3, 20, 18, 21, 3, 14, 15, 16, 14, 21, 20, 19, 17, 4, 2, 5, 0, 6, 0, 7, 8, 1, 1, 4, 9, 9, 22, 10, 2, 28, 27, 11, 26, 25, 25, 12, 23, 13, 10, 16]"
dwi,1,[26]
dwinanda,1,[0]
eric,1,[28]
fadhilah,1,[12]
fakultas,52,"[18, 38, 15, 8, 9, 16, 27, 38, 4, 32, 3, 2, 37, 1, 19, 28, 21, 37, 10, 1, 9, 2, 29, 11, 22, 20, 39, 5, 12, 42, 0, 16, 25, 41, 6, 3, 23, 14, 41, 10, 4, 17, 13, 39, 7, 0, 32, 14, 26, 21, 25, 20]"
fariz,1,[12]
fattah,1,[21]
fauzi,1,[41]
felix,1,[18]
ferris,1,[19]
fitria,1,[39]
gading,1,[27]
ganda,1,[36]
gracea,1,[26]
gubernur,1,[37]
handoyo,1,[25]
hartojo,1,[15]
hermawan,1,[14]
ibrahim,1,[30]
ifta,1,[16]
igbal,1,[35]
ilmu,52,"[32, 42, 5, 41, 25, 0, 41, 6, 25, 39, 0, 11, 7, 26, 39, 4, 38, 8, 9, 32, 10, 4, 29, 9, 10, 1, 2, 28, 1, 37, 38, 27, 37, 12, 16, 19, 13, 20, 22, 3, 18, 16, 17, 3, 2, 15, 23, 21, 21, 14, 20, 14]"
immanuel,2,"[18, 9]"
indah,1,[5]
inge,1,[31]
intan,1,[7]
iqfarchan,1,[13]
james,1,[15]
jessica,1,[6]
julius,1,[9]
katolik,1,[9]
keluarga,1,[9]
kerasulan,1,[9]
ketaren,1,[18]
ketua,2,"[0, 29]"
khansa,1,[42]
komputer,52,"[20, 9, 10, 21, 1, 7, 4, 10, 38, 20, 32, 14, 39, 17, 12, 8, 32, 14, 9, 15, 0, 39, 4, 18, 38, 37, 37, 19, 11, 3, 22, 26, 29, 13, 41, 1, 16, 27, 25, 2, 0, 23, 2, 16, 6, 25, 21, 28, 41, 42, 3, 5]"
krisna,1,[9]
kristen,1,[18]
langsa,1,[17]
maharani,1,[33]
mahasiswa,2,"[18, 9]"
mangkurai,1,[36]
manuel,1,[28]
margareta,1,[37]
marta,1,[34]
marwa,1,[11]
maslahah,1,[4]
mu'izana,1,[16]
muhammad,2,"[40, 12]"
multazam,1,[40]
nabila,1,[21]
nabilah,1,[11]
nadia,1,[4]
natalia,1,[2]
natanael,1,[20]
ningrum,1,[39]
odillia,1,[20]
oktavianto,1,[22]
onesiana,1,[26]
ovin,1,[33]
panca,1,[25]
parlian,1,[36]
pelayanan,1,[9]
pengurus,64,"[7, 42, 16, 5, 41, 4, 41, 16, 41, 3, 8, 18, 0, 40, 6, 14, 17, 38, 15, 39, 39, 38, 18, 38, 39, 12, 29, 22, 2, 26, 34, 2, 21, 21, 11, 9, 9, 32, 13, 1, 32, 20, 14, 27, 32, 28, 4, 10, 10, 1, 37, 2, 23, 19, 37, 20, 36, 25, 9, 42, 35, 3, 25, 30]"
perdana,1,[29]
persekutuan,1,[18]
praja,1,[34]
pranolo,1,[27]
prasasti,1,[31]
putriningsih,1,[17]
radio,1,[2]
raihan,1,[24]
ramadhani,1,[34]
ramandhika,1,[25]
rifqi,1,[34]
rizky,1,[3]
ryandhika,1,[23]
sabilillah,1,[19]
saiful,1,[3]
sanika,1,[17]
santia,1,[5]
saputra,1,[28]
satorasih,1,[10]
septiani,1,[1]
shandy,1,[29]
"sriwahyuni,tjan",1,[2]
swara,1,[2]
syahida,1,[5]
syarifah,1,[11]
taffany,1,[42]
the,1,[28]
theo,1,[9]
theodora,1,[38]
tiara,1,[17]
tita,1,[19]
tomara,1,[32]
tsaniya,1,[1]
tsany,1,[10]
udinus,13,"[29, 36, 35, 11, 39, 32, 30, 41, 37, 40, 42, 34, 38]"
umar,1,[41]
umurona,1,[35]
vinnie,1,[38]
visnu,1,[13]
xunduz,1,[42]
yahya,1,[35]
yusa,1,[8]
zhahiran,1,[1]
zulmi,1,[41]
